[2025-01-08, 4:26:09 PM] Sam: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[2024-04-22, 8:44:37 PM] Priya Nair: that's so real
[2024-05-12, 10:43:48 PM] Sam: i can't
[2024-05-14, 4:16:33 PM] Priya Nair: goodnight
[2024-05-14, 4:51:25 PM] Priya Nair: lmaooo
[2024-05-14, 8:12:32 PM] Priya Nair: no way
[2024-05-16, 5:34:59 PM] Sam: hold on
[2024-05-16, 8:16:05 PM] Sam: omg
[2024-05-17, 5:52:33 PM] Priya Nair: i can't
[2024-05-18, 8:41:47 PM] Priya Nair: literally me
[2024-05-19, 6:15:34 PM] Priya Nair: i'm crying
[2024-05-19, 7:48:04 PM] Priya Nair: goodnight
[2024-05-19, 8:10:38 PM] Priya Nair: i can't
[2024-05-19, 8:12:13 PM] Priya Nair: coming
[2024-05-20, 9:18:38 PM] Sam: good morning
[2024-05-20, 10:40:10 PM] Priya Nair: ok but same
[2024-05-21, 6:10:10 PM] Priya Nair: maybe
[2024-05-22, 8:39:25 PM] Priya Nair: good morning
[2024-05-23, 4:34:25 PM] Sam: hold on
[2024-05-23, 4:53:15 PM] Priya Nair: one more week
[2024-05-23, 5:43:17 PM] Priya Nair: hold on
[2024-05-23, 10:06:47 PM] Sam: 5 min
[2024-05-24, 9:59:53 PM] Sam: coming
[2024-05-25, 8:53:33 PM] Priya Nair: i'm crying
[2024-05-26, 5:26:07 PM] Priya Nair: maybe
[2024-05-26, 5:38:25 PM] Priya Nair: idk
[2024-05-27, 5:54:51 PM] Priya Nair: coming
[2024-05-28, 5:11:24 PM] Sam: no thoughts
[2024-05-28, 8:05:30 PM] Priya Nair: did you see that
[2024-05-28, 8:13:29 PM] Priya Nair: sounds good
[2024-05-28, 10:43:20 PM] Priya Nair: goodnight
[2024-05-29, 8:55:22 PM] Priya Nair: bet
[2024-05-29, 10:24:02 PM] Priya Nair: did you see that
[2024-05-30, 8:12:07 PM] Sam: i can't
[2024-05-30, 8:43:55 PM] Priya Nair: stopppp
[2024-05-30, 9:02:18 PM] Priya Nair: let me check
[2024-05-31, 7:37:40 PM] Sam: hold on
[2024-06-01, 5:16:49 PM] Priya Nair: i'm crying
[2024-06-01, 6:46:54 PM] Sam: bet
[2024-06-01, 8:20:33 PM] Sam: i'm crying
[2024-06-02, 4:05:04 PM] Sam: literally me
[2024-06-02, 6:01:26 PM] Priya Nair: fr
[2024-06-03, 4:16:16 PM] Priya Nair: stopppp
[2024-06-03, 9:47:07 PM] Priya Nair: i'm dying
[2024-06-04, 5:01:43 PM] Priya Nair: wait what
[2024-06-04, 6:24:25 PM] Priya Nair: i can't
[2024-06-04, 9:29:43 PM] Priya Nair: ok wait
[2024-06-04, 9:48:52 PM] Priya Nair: no thoughts
[2024-06-05, 8:43:41 PM] Priya Nair: goodnight
[2024-06-06, 10:52:01 PM] Priya Nair: omg
[2024-06-07, 6:53:31 PM] Priya Nair: ok but same
[2024-06-07, 6:59:01 PM] Priya Nair: on my way
[2024-06-07, 9:15:45 PM] Priya Nair: study group later?
[2024-06-08, 8:00:44 PM] Priya Nair: ok wait
[2024-06-09, 9:42:08 PM] Sam: no way
[2024-06-10, 6:01:15 PM] Priya Nair: did you see that
[2024-06-10, 9:28:27 PM] Priya Nair: send it
[2024-06-11, 5:02:22 PM] Priya Nair: ok wait
[2024-06-11, 7:14:24 PM] Priya Nair: almost done
[2024-06-12, 6:32:46 PM] Sam: what time
[2024-06-12, 6:44:45 PM] Priya Nair: that's so real
[2024-06-12, 6:52:52 PM] Priya Nair: same tbh
[2024-06-12, 9:36:22 PM] Priya Nair: 5 min
[2024-06-15, 7:05:20 PM] Priya Nair: literally me
[2024-06-16, 4:45:38 PM] Priya Nair: i'm crying
[2024-06-17, 4:43:36 PM] Priya Nair: stopppp
[2024-06-17, 7:12:37 PM] Sam: hold on
[2024-06-18, 7:25:01 PM] Priya Nair: hold on
[2024-06-19, 10:11:38 PM] Priya Nair: bet
[2024-06-20, 6:04:53 PM] Priya Nair: what time
[2024-06-20, 7:43:31 PM] Priya Nair: same tbh
[2024-06-22, 7:54:18 PM] Priya Nair: no thoughts
[2024-06-23, 8:38:02 PM] Sam: ok but same
[2024-06-23, 9:50:57 PM] Sam: that's so real
[2024-06-24, 4:46:29 PM] Priya Nair: one more week
[2024-06-24, 6:19:30 PM] Priya Nair: study group later?
[2024-06-26, 4:16:31 PM] Priya Nair: study group later?
[2024-06-26, 5:20:59 PM] Sam: one more week
[2024-06-26, 8:41:36 PM] Priya Nair: maybe
[2024-06-27, 5:55:12 PM] Priya Nair: did you see that
[2024-06-27, 7:58:10 PM] Sam: on my way
[2024-06-28, 4:49:34 PM] Priya Nair: i failed that
[2024-06-28, 7:23:26 PM] Priya Nair: almost done
[2024-06-28, 9:53:32 PM] Priya Nair: yeah
[2024-06-29, 7:44:48 PM] Priya Nair: did you see that
[2024-06-29, 8:19:45 PM] Priya Nair: we'll see
[2024-06-29, 9:28:43 PM] Priya Nair: i'm so tired
[2024-06-30, 5:29:39 PM] Priya Nair: study group later?
[2024-06-30, 9:53:08 PM] Priya Nair: i'm so tired
[2024-07-01, 4:41:30 PM] Priya Nair: one more week
[2024-07-01, 10:26:31 PM] Priya Nair: fr
[2024-07-02, 5:01:03 PM] Priya Nair: no thoughts
[2024-07-03, 8:07:09 PM] Priya Nair: i can't
[2024-07-03, 9:22:11 PM] Sam: same tbh
[2024-07-03, 10:31:12 PM] Priya Nair: study group later?
[2024-07-04, 7:44:23 PM] Priya Nair: i failed that
[2024-07-04, 10:15:24 PM] Priya Nair: i can't
[2024-07-05, 4:46:13 PM] Priya Nair: i'm dying
[2024-07-05, 7:23:46 PM] Priya Nair: goodnight
[2024-07-05, 8:06:56 PM] Priya Nair: one more week
[2024-07-06, 4:37:09 PM] Sam: 5 min
[2024-07-07, 4:18:40 PM] Priya Nair: ok wait
[2024-07-07, 6:24:34 PM] Priya Nair: coming
[2024-07-07, 9:23:04 PM] Sam: hold on
[2024-07-07, 10:35:00 PM] Priya Nair: stopppp
[2024-07-08, 10:32:37 PM] Sam: yeah
[2024-07-09, 5:48:00 PM] Priya Nair: i'm so tired
[2024-07-09, 5:50:56 PM] Priya Nair: ok but same
[2024-07-09, 6:00:57 PM] Priya Nair: what time
[2024-07-10, 4:17:49 PM] Priya Nair: we'll see
[2024-07-11, 4:06:34 PM] Priya Nair: what time
[2024-07-11, 5:23:32 PM] Priya Nair: almost done
[2024-07-11, 5:53:27 PM] Priya Nair: i'm dying
[2024-07-11, 7:44:41 PM] Priya Nair: send it
[2024-07-12, 5:36:05 PM] Priya Nair: yeah
[2024-07-13, 9:53:55 PM] Sam: no way
[2024-07-14, 7:44:20 PM] Priya Nair: 5 min
[2024-07-14, 9:34:15 PM] Priya Nair: send it
[2024-07-14, 10:19:49 PM] Priya Nair: yeah
[2024-07-15, 9:26:36 PM] Priya Nair: that's so real
[2024-07-16, 10:05:32 PM] Priya Nair: stopppp
[2024-07-16, 10:30:59 PM] Priya Nair: same tbh
[2024-07-18, 4:55:59 PM] Priya Nair: fr
[2024-07-19, 5:36:51 PM] Priya Nair: same tbh
[2024-07-19, 8:08:53 PM] Priya Nair: ok deal
[2024-07-20, 4:01:01 PM] Priya Nair: no thoughts
[2024-07-20, 10:27:24 PM] Priya Nair: i failed that
[2024-07-21, 4:42:28 PM] Priya Nair: maybe
[2024-07-21, 10:42:56 PM] Priya Nair: ok but same
[2024-07-22, 8:43:13 PM] Priya Nair: ok wait
[2024-07-22, 8:58:14 PM] Priya Nair: omg
[2024-07-24, 7:59:14 PM] Sam: idk
[2024-07-25, 10:54:01 PM] Priya Nair: let me check
[2024-07-26, 4:45:59 PM] Sam: goodnight
[2024-07-26, 6:40:35 PM] Priya Nair: maybe
[2024-07-26, 8:02:39 PM] Priya Nair: yeah
[2024-07-26, 8:52:14 PM] Priya Nair: good morning
[2024-07-27, 4:38:13 PM] Sam: study group later?
[2024-07-27, 8:19:26 PM] Priya Nair: same tbh
[2024-07-28, 6:39:10 PM] Priya Nair: fr
[2024-07-29, 9:51:03 PM] Priya Nair: lmaooo
[2024-07-30, 4:37:39 PM] Sam: i'm so tired
[2024-07-30, 7:56:56 PM] Priya Nair: did you see that
[2024-07-30, 8:27:38 PM] Sam: i failed that
[2024-07-30, 9:10:10 PM] Priya Nair: ok deal
[2024-07-30, 10:53:10 PM] Priya Nair: lmaooo
[2024-08-01, 4:48:20 PM] Sam: did you see that
[2024-08-01, 5:36:44 PM] Sam: same tbh
[2024-08-01, 8:42:41 PM] Priya Nair: let me check
[2024-08-01, 9:54:13 PM] Priya Nair: study group later?
[2024-08-02, 7:24:58 PM] Priya Nair: fr
[2024-08-03, 5:47:04 PM] Priya Nair: ok deal
[2024-08-03, 10:44:19 PM] Sam: literally me
[2024-08-04, 4:10:56 PM] Sam: maybe
[2024-08-04, 7:13:16 PM] Sam: ok deal
[2024-08-04, 8:17:47 PM] Priya Nair: same tbh
[2024-08-05, 6:31:53 PM] Sam: sounds good
[2024-08-05, 6:32:36 PM] Priya Nair: no thoughts
[2024-08-05, 9:12:30 PM] Priya Nair: good morning
[2024-08-05, 9:23:31 PM] Priya Nair: stopppp
[2024-08-05, 10:19:18 PM] Priya Nair: study group later?
[2024-08-06, 7:20:08 PM] Priya Nair: ok deal
[2024-08-07, 6:54:44 PM] Priya Nair: bet
[2024-08-07, 9:55:22 PM] Priya Nair: on my way
[2024-08-08, 5:31:44 PM] Priya Nair: ok but same
[2024-08-09, 8:39:31 PM] Priya Nair: lmaooo
[2024-08-10, 10:48:07 PM] Priya Nair: 5 min
[2024-08-11, 7:06:43 PM] Priya Nair: yeah
[2024-08-12, 5:14:41 PM] Priya Nair: ok but same
[2024-08-12, 6:16:09 PM] Priya Nair: goodnight
[2024-08-13, 6:41:11 PM] Priya Nair: goodnight
[2024-08-14, 5:12:00 PM] Sam: wait what
[2024-08-14, 5:33:43 PM] Priya Nair: that's so real
[2024-08-15, 10:06:36 PM] Sam: i'm crying
[2024-08-16, 7:54:49 PM] Priya Nair: what time
[2024-08-17, 5:46:52 PM] Sam: we'll see
[2024-08-17, 6:27:51 PM] Priya Nair: literally me
[2024-08-17, 10:04:44 PM] Priya Nair: i failed that
[2024-08-18, 5:16:28 PM] Priya Nair: stopppp
[2024-08-19, 8:27:55 PM] Priya Nair: wait what
[2024-08-20, 5:34:30 PM] Priya Nair: let me check
[2024-08-20, 7:13:38 PM] Priya Nair: yeah
[2024-08-20, 9:52:16 PM] Priya Nair: did you see that
[2024-08-21, 7:53:23 PM] Priya Nair: hold on
[2024-08-22, 4:33:16 PM] Sam: literally me
[2024-08-22, 7:12:45 PM] Priya Nair: on my way
[2024-08-22, 9:20:15 PM] Priya Nair: ok but same
[2024-08-23, 5:27:31 PM] Sam: almost done
[2024-08-23, 9:25:01 PM] Priya Nair: i'm so tired
[2024-08-23, 10:52:27 PM] Priya Nair: almost done
[2024-08-24, 5:02:27 PM] Priya Nair: good morning
[2024-08-24, 5:18:10 PM] Sam: did you see that
[2024-08-24, 7:33:22 PM] Sam: we'll see
[2024-08-26, 4:45:09 PM] Priya Nair: coming
[2024-08-26, 4:46:18 PM] Priya Nair: lmaooo
[2024-08-26, 5:58:54 PM] Priya Nair: i can't
[2024-08-26, 7:31:01 PM] Sam: coming
[2024-08-26, 9:45:59 PM] Priya Nair: wait what
[2024-08-27, 8:29:23 PM] Priya Nair: yeah
[2024-08-27, 8:41:49 PM] Sam: i'm so tired
[2024-08-28, 4:43:31 PM] Priya Nair: that's so real
[2024-08-28, 9:44:34 PM] Priya Nair: almost done
[2024-08-28, 10:55:50 PM] Priya Nair: let me check
[2024-08-29, 8:35:30 PM] Sam: same tbh
[2024-08-30, 4:14:33 PM] Priya Nair: lmaooo
[2024-08-30, 7:41:12 PM] Sam: one more week
[2024-08-31, 5:29:04 PM] Priya Nair: one more week
[2024-08-31, 6:11:45 PM] Sam: i'm dying
[2024-08-31, 6:45:50 PM] Priya Nair: lmaooo
[2024-08-31, 9:22:10 PM] Priya Nair: what time
[2024-08-31, 10:46:39 PM] Priya Nair: sounds good
[2024-09-02, 5:05:29 PM] Priya Nair: no thoughts
[2024-09-02, 6:25:46 PM] Priya Nair: maybe
[2024-09-02, 6:57:18 PM] Priya Nair: i'm crying
[2024-09-03, 8:05:14 PM] Priya Nair: i'm so tired
[2024-09-04, 4:34:44 PM] Priya Nair: that's so real
[2024-09-05, 5:53:09 PM] Sam: i'm crying
[2024-09-05, 9:34:44 PM] Priya Nair: i'm dying
[2024-09-05, 10:58:26 PM] Priya Nair: on my way
[2024-09-07, 5:23:35 PM] Priya Nair: i'm crying
[2024-09-07, 10:49:32 PM] Sam: same tbh
[2024-09-08, 4:01:27 PM] Priya Nair: on my way
[2024-09-08, 5:19:23 PM] Sam: i'm dying
[2024-09-08, 8:22:03 PM] Priya Nair: send it
[2024-09-09, 5:34:20 PM] Priya Nair: we'll see
[2024-09-09, 9:03:22 PM] Priya Nair: same tbh
[2024-09-10, 4:02:01 PM] Priya Nair: ok wait
[2024-09-10, 5:12:17 PM] Sam: stopppp
[2024-09-11, 5:12:16 PM] Sam: yeah
[2024-09-11, 6:16:34 PM] Priya Nair: idk
[2024-09-11, 10:16:07 PM] Sam: sounds good
[2024-09-12, 5:27:43 PM] Sam: fr
[2024-09-12, 8:02:35 PM] Priya Nair: literally me
[2024-09-12, 9:08:19 PM] Priya Nair: good morning
[2024-09-13, 9:27:34 PM] Priya Nair: study group later?
[2024-09-14, 9:47:53 PM] Priya Nair: one more week
[2024-09-14, 10:46:58 PM] Priya Nair: almost done
[2024-09-15, 6:50:20 PM] Priya Nair: yeah
[2024-09-15, 9:35:40 PM] Sam: idk
[2024-09-16, 6:12:42 PM] Priya Nair: sounds good
[2024-09-17, 4:33:34 PM] Priya Nair: same tbh
[2024-09-17, 6:24:55 PM] Sam: did you see that
[2024-09-17, 6:31:14 PM] Priya Nair: we'll see
[2024-09-17, 8:48:15 PM] Sam: ok but same
[2024-09-17, 8:50:14 PM] Priya Nair: same tbh
[2024-09-18, 4:58:53 PM] Priya Nair: wait what
[2024-09-18, 6:52:37 PM] Priya Nair: lmaooo
[2024-09-19, 9:54:35 PM] Sam: literally me
[2024-09-19, 10:20:06 PM] Priya Nair: good morning
[2024-09-19, 10:23:33 PM] Sam: sounds good
[2024-09-20, 5:22:36 PM] Priya Nair: send it
[2024-09-20, 5:41:19 PM] Priya Nair: did you see that
[2024-09-20, 6:47:24 PM] Priya Nair: goodnight
[2024-09-20, 8:17:34 PM] Priya Nair: i'm crying
[2024-09-21, 8:50:47 PM] Priya Nair: literally me
[2024-09-22, 4:20:22 PM] Priya Nair: ok but same
[2024-09-22, 4:24:27 PM] Priya Nair: ok deal
[2024-09-22, 4:29:24 PM] Priya Nair: no way
[2024-09-22, 6:12:22 PM] Priya Nair: one more week
[2024-09-22, 7:30:52 PM] Sam: one more week
[2024-09-25, 6:29:41 PM] Priya Nair: we'll see
[2024-09-25, 10:14:37 PM] Priya Nair: i'm so tired
[2024-09-25, 10:43:08 PM] Priya Nair: i'm dying
[2024-09-28, 5:34:10 PM] Priya Nair: coming
[2024-09-28, 7:47:19 PM] Sam: almost done
[2024-09-28, 9:30:38 PM] Priya Nair: idk
[2024-09-28, 10:16:24 PM] Priya Nair: stopppp
[2024-09-29, 6:26:45 PM] Priya Nair: send it
[2024-09-29, 9:38:31 PM] Priya Nair: did you see that
[2024-09-30, 4:07:22 PM] Priya Nair: what time
[2024-09-30, 7:30:40 PM] Sam: bet
[2024-09-30, 9:17:51 PM] Priya Nair: fr
[2024-10-01, 4:56:25 PM] Sam: good morning
[2024-10-03, 4:13:32 PM] Priya Nair: no way
[2024-10-04, 5:55:52 PM] Priya Nair: let me check
[2024-10-05, 5:50:40 PM] Priya Nair: yeah
[2024-10-05, 7:33:08 PM] Sam: idk
[2024-10-06, 9:44:31 PM] Priya Nair: that's so real
[2024-10-08, 7:30:04 PM] Priya Nair: lmaooo
[2024-10-09, 7:45:37 PM] Priya Nair: no way
[2024-10-10, 4:12:52 PM] Priya Nair: no thoughts
[2024-10-10, 8:08:55 PM] Sam: sounds good
[2024-10-10, 9:22:23 PM] Priya Nair: on my way
[2024-10-11, 4:40:43 PM] Priya Nair: we'll see
[2024-10-11, 7:05:34 PM] Priya Nair: stopppp
[2024-10-11, 7:13:13 PM] Sam: omg
[2024-10-11, 10:59:51 PM] Priya Nair: no thoughts
[2024-10-12, 6:36:08 PM] Priya Nair: idk
[2024-10-12, 9:01:55 PM] Sam: stopppp
[2024-10-12, 10:54:47 PM] Priya Nair: i failed that
[2024-10-13, 4:09:38 PM] Priya Nair: lmaooo
[2024-10-13, 7:16:49 PM] Priya Nair: ok but same
[2024-10-14, 7:07:04 PM] Priya Nair: i failed that
[2024-10-14, 9:24:31 PM] Priya Nair: send it
[2024-10-15, 5:43:25 PM] Priya Nair: wait what
[2024-10-15, 6:21:59 PM] Priya Nair: fr
[2024-10-15, 8:33:12 PM] Priya Nair: maybe
[2024-10-15, 9:10:10 PM] Sam: on my way
[2024-10-16, 5:14:07 PM] Priya Nair: good morning
[2024-10-16, 9:17:21 PM] Priya Nair: omg
[2024-10-16, 9:54:58 PM] Priya Nair: same tbh
[2024-10-18, 8:17:45 PM] Priya Nair: did you see that
[2024-10-18, 9:41:40 PM] Priya Nair: bet
[2024-10-18, 10:39:26 PM] Priya Nair: one more week
[2024-10-19, 9:06:27 PM] Priya Nair: i'm dying to see that exhibition before it closes, nobody will come with me
[2024-10-20, 7:42:42 PM] Priya Nair: i can't
[2024-10-21, 6:03:07 PM] Priya Nair: same tbh
[2024-10-21, 9:34:38 PM] Priya Nair: yeah
[2024-10-22, 4:08:19 PM] Priya Nair: i'm crying
[2024-10-22, 4:31:13 PM] Priya Nair: same tbh
[2024-10-22, 4:56:37 PM] Sam: what time
[2024-10-22, 6:59:58 PM] Sam: coming
[2024-10-22, 7:03:52 PM] Priya Nair: yeah
[2024-10-22, 7:44:58 PM] Sam: i'm dying
[2024-10-22, 10:52:32 PM] Priya Nair: i'm crying
[2024-10-23, 7:44:23 PM] Priya Nair: 5 min
[2024-10-23, 9:42:15 PM] Priya Nair: maybe
[2024-10-24, 5:10:47 PM] Sam: ok deal
[2024-10-24, 7:50:30 PM] Priya Nair: goodnight
[2024-10-24, 9:54:06 PM] Priya Nair: ok deal
[2024-10-25, 8:41:33 PM] Priya Nair: idk
[2024-10-26, 9:40:17 PM] Priya Nair: one more week
[2024-10-26, 10:42:53 PM] Sam: maybe
[2024-10-27, 5:42:32 PM] Priya Nair: bet
[2024-10-27, 6:46:45 PM] Priya Nair: that's so real
[2024-10-28, 6:14:56 PM] Priya Nair: did you see that
[2024-10-28, 9:15:19 PM] Priya Nair: ok wait
[2024-10-29, 7:42:35 PM] Priya Nair: study group later?
[2024-10-30, 7:33:25 PM] Priya Nair: send it
[2024-10-30, 8:24:49 PM] Priya Nair: send it
[2024-10-30, 9:02:00 PM] Priya Nair: idk
[2024-10-31, 5:21:32 PM] Priya Nair: coming
[2024-10-31, 6:49:02 PM] Sam: yeah
[2024-10-31, 6:52:11 PM] Priya Nair: almost done
[2024-10-31, 10:58:06 PM] Priya Nair: no way
[2024-11-01, 5:56:38 PM] Priya Nair: send it
[2024-11-01, 6:41:25 PM] Priya Nair: hold on
[2024-11-01, 10:00:28 PM] Priya Nair: wait what
[2024-11-02, 6:21:35 PM] Priya Nair: i can't
[2024-11-03, 4:20:42 PM] Priya Nair: what time
[2024-11-03, 6:44:50 PM] Sam: good morning
[2024-11-04, 4:02:03 PM] Priya Nair: same tbh
[2024-11-04, 4:57:08 PM] Priya Nair: send it
[2024-11-04, 8:00:43 PM] Priya Nair: no way
[2024-11-05, 4:32:00 PM] Priya Nair: send it
[2024-11-05, 5:19:31 PM] Priya Nair: i'm crying
[2024-11-05, 9:39:02 PM] Sam: literally me
[2024-11-06, 5:54:01 PM] Priya Nair: let me check
[2024-11-06, 9:39:18 PM] Priya Nair: send it
[2024-11-06, 10:39:12 PM] Sam: ok but same
[2024-11-07, 7:31:52 PM] Sam: coming
[2024-11-07, 7:56:59 PM] Priya Nair: let me check
[2024-11-08, 5:51:57 PM] Priya Nair: ok but same
[2024-11-08, 10:55:47 PM] Priya Nair: one more week
[2024-11-09, 4:15:55 PM] Priya Nair: stopppp
[2024-11-09, 5:05:38 PM] Sam: stopppp
[2024-11-09, 6:06:44 PM] Priya Nair: ok wait
[2024-11-09, 6:38:01 PM] Sam: maybe
[2024-11-10, 4:32:32 PM] Priya Nair: omg
[2024-11-10, 4:47:45 PM] Sam: yeah
[2024-11-10, 4:53:01 PM] Sam: same tbh
[2024-11-10, 7:37:43 PM] Sam: literally me
[2024-11-11, 6:02:51 PM] Priya Nair: that's so real
[2024-11-12, 4:30:33 PM] Priya Nair: send it
[2024-11-12, 7:44:01 PM] Sam: i failed that
[2024-11-13, 4:33:16 PM] Sam: sounds good
[2024-11-13, 6:50:28 PM] Priya Nair: i'm dying
[2024-11-13, 7:18:17 PM] Sam: did you see that
[2024-11-13, 9:53:30 PM] Priya Nair: ok wait
[2024-11-15, 5:21:19 PM] Sam: fr
[2024-11-15, 7:59:56 PM] Priya Nair: good morning
[2024-11-17, 7:21:24 PM] Priya Nair: good morning
[2024-11-18, 6:12:02 PM] Sam: i'm crying
[2024-11-19, 4:38:28 PM] Priya Nair: we'll see
[2024-11-19, 5:55:51 PM] Priya Nair: i failed that
[2024-11-19, 8:09:37 PM] Sam: same tbh
[2024-11-21, 5:06:36 PM] Sam: same tbh
[2024-11-21, 6:12:16 PM] Priya Nair: same tbh
[2024-11-21, 7:27:49 PM] Sam: let me check
[2024-11-22, 5:10:42 PM] Priya Nair: on my way
[2024-11-22, 6:22:37 PM] Sam: no thoughts
[2024-11-23, 5:03:44 PM] Priya Nair: omg
[2024-11-23, 5:33:30 PM] Sam: we'll see
[2024-11-23, 5:48:38 PM] Sam: what time
[2024-11-23, 7:50:45 PM] Priya Nair: fr
[2024-11-24, 9:39:55 PM] Priya Nair: maybe
[2024-11-25, 4:35:34 PM] Priya Nair: no thoughts
[2024-11-25, 6:49:31 PM] Sam: coming
[2024-11-25, 7:42:58 PM] Priya Nair: i'm so tired
[2024-11-25, 10:48:12 PM] Priya Nair: stopppp
[2024-11-26, 6:55:03 PM] Priya Nair: yeah
[2024-11-27, 9:08:38 PM] Priya Nair: i'm so tired
[2024-11-28, 7:02:42 PM] Priya Nair: we'll see
[2024-11-28, 9:28:02 PM] Priya Nair: no thoughts
[2024-11-29, 6:47:19 PM] Priya Nair: we'll see
[2024-11-29, 9:23:03 PM] Priya Nair: we'll see
[2024-11-29, 9:54:02 PM] Priya Nair: one more week
[2024-11-29, 10:44:31 PM] Priya Nair: i failed that
[2024-11-30, 5:35:35 PM] Priya Nair: literally me
[2024-11-30, 5:37:14 PM] Priya Nair: bet
[2024-11-30, 6:21:06 PM] Sam: hold on
[2024-11-30, 7:42:26 PM] Sam: one more week
[2024-12-02, 8:23:05 PM] Priya Nair: bet
[2024-12-04, 4:24:06 PM] Priya Nair: i'm crying
[2024-12-04, 4:50:53 PM] Priya Nair: i can't
[2024-12-04, 9:57:13 PM] Sam: omg
[2024-12-05, 8:37:08 PM] Priya Nair: goodnight
[2024-12-06, 7:32:41 PM] Priya Nair: on my way
[2024-12-06, 9:18:46 PM] Priya Nair: hold on
[2024-12-07, 5:31:03 PM] Sam: ok deal
[2024-12-07, 10:25:20 PM] Sam: 5 min
[2024-12-07, 10:37:40 PM] Sam: good morning
[2024-12-08, 5:15:21 PM] Priya Nair: omg
[2024-12-09, 4:33:10 PM] Priya Nair: omg
[2024-12-09, 5:28:57 PM] Sam: stopppp
[2024-12-09, 8:23:02 PM] Priya Nair: i'm dying
[2024-12-10, 5:12:03 PM] Priya Nair: ok wait
[2024-12-11, 5:21:38 PM] Sam: bet
[2024-12-11, 6:03:00 PM] Sam: idk
[2024-12-12, 8:00:29 PM] Priya Nair: sounds good
[2024-12-13, 4:12:47 PM] Priya Nair: goodnight
[2024-12-13, 4:21:13 PM] Priya Nair: i failed that
[2024-12-13, 10:43:38 PM] Priya Nair: did you see that
[2024-12-14, 5:48:21 PM] Sam: 5 min
[2024-12-14, 8:20:41 PM] Priya Nair: no way
[2024-12-17, 4:32:17 PM] Priya Nair: bet
[2024-12-17, 8:16:48 PM] Priya Nair: stopppp
[2024-12-17, 10:30:20 PM] Sam: no thoughts
[2024-12-17, 10:46:52 PM] Priya Nair: did you see that
[2024-12-19, 7:50:13 PM] Priya Nair: almost done
[2024-12-20, 6:35:23 PM] Priya Nair: almost done
[2024-12-20, 7:20:45 PM] Priya Nair: study group later?
[2024-12-20, 8:22:54 PM] Sam: i failed that
[2024-12-20, 8:59:20 PM] Priya Nair: we'll see
[2024-12-21, 5:20:08 PM] Priya Nair: lmaooo
[2024-12-21, 5:47:20 PM] Priya Nair: yeah
[2024-12-22, 4:15:38 PM] Sam: omg
[2024-12-22, 10:51:54 PM] Priya Nair: ok wait
[2024-12-24, 4:25:50 PM] Priya Nair: on my way
[2024-12-24, 5:38:49 PM] Priya Nair: ok wait
[2024-12-24, 8:09:06 PM] Sam: ok deal
[2024-12-24, 9:03:08 PM] Sam: coming
